,Mean (B USD),Std Dev (B USD),Skewness,Kurtosis,CV (%)
GDP,9.329838583896551,3.98148951225512,0.0071052455669660675,-1.5609820488503896,42.67479524380233
Exports,2.3131571579241377,1.296494854938563,0.24964974564164552,-1.2803558000511317,56.04871465378761
Imports,3.067056728293103,1.6515602352395817,-0.04200337526642742,-1.394698965646632,53.84837587137549
