,Value
R-squared,0.25320384220483283
Adjusted R-squared,0.19346014958121938
F-statistic,4.238168601328725
F-statistic p-value,0.02600314848438207
AIC,-43.104215720967616
BIC,-39.10760219044201
Log-Likelihood,24.552107860483808
Observations,28.0
Degrees of Freedom (Residual),25.0
