,GDP,Exports,Imports
const,0.05759966857891516,0.11244436258944417,0.1673258856900685
L1.GDP,-0.549860381082627,-1.3095519286872903,-1.1127544618440255
L1.Exports,-0.012740291766824112,0.33233882772508455,0.46932220534540103
L1.Imports,0.36515343062821315,-0.06400619987172709,-0.34730753604482184
L2.GDP,-0.493562930243732,-1.657354068011162,-1.258065152059111
L2.Exports,0.12073063429027384,-1.176104053103331,-0.9267353730151592
L2.Imports,-0.04374203905026501,1.7251553651865967,1.328631858008982
L3.GDP,-0.5405559885573946,-1.096129764767092,-1.6950594158957315
L3.Exports,0.07968243297192021,0.6473720070909107,0.6644820375854857
L3.Imports,0.5009362912441666,-0.20707486978966258,0.050364484354331156
L4.GDP,-0.18107686730237663,-0.447688582071664,-1.3600366346835866
L4.Exports,-0.2952261139833409,0.5242576798118735,0.299185711914075
L4.Imports,0.3357912203603553,0.008806295095388394,0.6689584046917014
L5.GDP,0.15091331785394757,1.3385918423678582,0.35734480685212017
L5.Exports,-0.1909783400523189,-1.413217482963824,-1.199597394771768
L5.Imports,0.2547625531613868,1.268794109330977,1.2479332237496332
