,Coefficient,Std Error,t-statistic,p-value,CI Lower (95%),CI Upper (95%)
const,0.03091169836969298,0.02142511307381237,1.442778773824813,0.16149601389110785,-0.013214148002922303,0.07503754474230825
Exports,0.18825258806479345,0.17680677683115623,1.0647362699483376,0.2971713714147725,-0.1758877852070213,0.5523929613366082
Imports,0.1362862374508451,0.20546707671238673,0.663299637253412,0.5132090374201389,-0.2868811283598347,0.5594536032615248
