p,d,q,AIC,BIC
1,1,0,-48.21306864660616,-43.029721182588844
2,1,2,-45.89993000246148,-37.36779922838407
0,1,0,-44.071696890802286,-40.1841862927893
0,1,1,-43.88908253643495,-38.85669638434902
2,1,0,-43.2008800897667,-36.91039739965929
1,1,1,-43.18970803071916,-36.89922534061175
2,1,1,-40.90788881816637,-33.359309590037476
0,1,2,-39.939007817333554,-33.84462869299255
1,1,2,-38.53936694017413,-31.22611199096493
