Variable,OLS Coef,OLS SE,OLS t-stat,OLS p-value,HC3 SE,HC3 t-stat,HC3 p-value,HAC SE,HAC t-stat,HAC p-value
const,0.03091169836969298,0.02142511307381237,1.442778773824813,0.16149601389110785,0.022112089638882348,1.3979546426646725,0.17440801486391977,0.015042296393684122,2.054985326753169,0.050470884749766035
Exports,0.18825258806479345,0.17680677683115623,1.0647362699483376,0.2971713714147725,0.17393934135791234,1.082288725455324,0.2894534361437873,0.1431107348486266,1.3154330334751967,0.20030165817836387
Imports,0.1362862374508451,0.20546707671238673,0.663299637253412,0.5132090374201389,0.2189697188934569,0.6223976453893028,0.5393163570684351,0.2041538440786224,0.6675663545103732,0.51052636226914
