,Coefficient,StdErr,t,P>|t|
const,-2978765927.663823,1046696908.3259244,-2.845872481297407,0.004428992704486651
Exports_pct,319771622.3113016,90663820.1957229,3.5270036230658075,0.0004202910121779509
Imports_pct,155272197.6491136,66331376.544406526,2.340855952916405,0.019239588580725695
